rank,brand,usd,final_verdict,src_claude,src_accio,src_perplexity,src_chatgpt,src_gemini1,src_gemini2
274,"Lumē Deodorant, LLC",19.89,not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,definitely_not_china
275,Vital Purple,19.77,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
276,tea facto,19.62,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
277,D'Artisan Shoppe,19.13,not_china,unknown,likely_not_china,unknown,unknown,unknown,unknown
278,Goode Health,19.02,not_china,definitely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
279,Henry Schein,18.60,not_china,likely_not_china,unknown,definitely_not_china,definitely_not_china,unknown,unknown
280,Back Bay Audio,18.23,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
281,Joyful Moose,17.85,not_china,definitely_not_china,definitely_not_china,unknown,likely_not_china,unknown,unknown
282,Clyrio,17.80,not_china,unknown,definitely_not_china,unknown,likely_not_china,unknown,unknown
283,kevinleeme,17.58,not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown
284,IGANCE,16.94,not_china,likely_not_china,unknown,definitely_china,unknown,unknown,unknown
285,burakbilisik,16.60,not_china,unknown,unknown,unknown,unknown,unknown,unknown
286,The Bean Coffee Company,16.10,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china
287,Flipper Aquarium Products,15.85,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
288,RazorGroup,15.74,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,definitely_not_china,unknown
289,OLIVIAUMMA,15.64,not_china,likely_not_china,likely_not_china,likely_not_china,likely_not_china,unknown,unknown
290,PetraTools,15.00,not_china,definitely_not_china,unknown,unknown,unknown,unknown,unknown
291,Serei,14.85,not_china,unknown,unknown,unknown,unknown,unknown,unknown
292,Melinda's Hot Sauce,14.79,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china
293,NATIVEPET24,14.63,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china
294,Straight Coastin',14.61,not_china,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown
295,Mav Beauty Brands,14.49,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown
296,Dolce Flav,14.27,not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown
297,Highland,14.11,not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,unknown
298,Mobi Lock,13.63,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
299,MatchaDNA,13.45,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
300,Toysmith,13.38,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china
301,Spot Detergent,13.01,not_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,unknown
302,Houswise,13.00,china,likely_china,unknown,unknown,unknown,unknown,unknown
303,Dolcezza by Alluluv,12.55,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
304,The Parker-Lambert Agency,12.53,not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown
305,Lovebug Probiotics,12.44,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china
306,Pirate Wizards,12.31,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
307,ExcelMark,12.27,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown
308,adminTPC,11.92,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
309,Vitamizdd,11.73,not_china,unknown,unknown,unknown,unknown,unknown,unknown
310,Novel Brands,11.35,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown
311,ericmendes,11.25,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown
312,Cosmic Freeze,11.09,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
313,SHINEFY,10.28,china,definitely_china,unknown,likely_china,unknown,unknown,unknown
314,BathBlocks,9.86,not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown
315,RainbowShow,9.75,china,likely_china,unknown,likely_china,likely_china,unknown,unknown
316,Pals Socks,9.34,not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown
317,Brick House,9.27,not_china,unknown,unknown,unknown,unknown,unknown,unknown
318,Menfirst,9.21,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown
319,mconley,8.82,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,definitely_not_china
320,Goli Nutrition,8.76,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china
321,Yobee Care,8.60,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown
322,Benefit Spice: Spice for Good,8.58,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
323,SuperNaturalGoods,8.55,not_china,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown
324,Migrastil,8.51,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
325,Kind Lips,8.43,not_china,definitely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
326,sisterlymarket,8.39,not_china,unknown,unknown,likely_not_china,unknown,unknown,unknown
327,Arterra Pet Science,8.07,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
328,Numeira Dead Sea,7.97,not_china,definitely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
329,Vitavelle Cosmetics,7.80,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
330,Brilliant Beauty,7.72,not_china,unknown,unknown,unknown,unknown,unknown,unknown
331,ieró Beauty™,7.56,not_china,definitely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
332,Puppy Pouch,7.44,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
333,ZenHalal,7.20,not_china,unknown,unknown,likely_not_china,unknown,unknown,unknown
334,Sandunes,7.18,not_china,unknown,unknown,unknown,unknown,unknown,unknown
335,FordeBaker,7.00,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
336,nechemya,6.98,not_china,unknown,unknown,unknown,unknown,unknown,unknown
337,Glow by hormone university,6.72,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown
338,Vivid Scribbles,6.72,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
339,vinsguir,6.60,china,definitely_china,unknown,likely_china,unknown,unknown,unknown
340,umamibento,6.49,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
341,Keith,6.30,not_china,unknown,unknown,likely_not_china,likely_not_china,unknown,unknown
342,Kronox,6.00,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
343,Kibou Bag,5.88,not_china,definitely_not_china,unknown,likely_not_china,likely_not_china,unknown,definitely_not_china
344,MEEMA,5.37,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
345,Timeline,5.25,not_china,definitely_not_china,unknown,definitely_not_china,unknown,unknown,unknown
346,Foldies,5.04,not_china,unknown,unknown,likely_not_china,unknown,unknown,unknown
347,VitaUp,4.93,not_china,unknown,unknown,unknown,unknown,unknown,unknown
348,jdhaley00,4.91,not_china,unknown,unknown,unknown,unknown,unknown,unknown
349,AURA IN BLOOM,4.75,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
350,Osaber,4.32,not_china,unknown,unknown,unknown,unknown,unknown,unknown
351,LOOKNOOK,4.31,china,likely_china,unknown,likely_china,likely_china,unknown,unknown
352,TTolbi,3.98,not_china,unknown,unknown,unknown,unknown,unknown,unknown
353,Oleksii,3.97,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
354,Barely Halal,3.90,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
355,leolandau,3.84,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
356,Bubble Sponge,3.72,not_china,unknown,unknown,unknown,unknown,unknown,unknown
357,Teracube,3.60,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china
358,alexdittrich,3.60,not_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,unknown
359,Aromafume,3.35,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown
360,Ecomcy,3.27,not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown
361,Matjaz,3.25,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
362,Aiming Fluid Golf,3.21,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
363,TokyoRush,3.08,not_china,unknown,unknown,unknown,unknown,unknown,unknown
364,Ouch Baby,3.00,not_china,unknown,unknown,unknown,unknown,unknown,unknown
365,VZJZHAN,2.86,china,likely_china,unknown,likely_china,likely_china,unknown,unknown
366,Alodia,2.72,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china
367,Bonded By Stories,2.70,not_china,unknown,unknown,unknown,unknown,unknown,unknown
368,Aum Active,2.60,china,likely_china,definitely_china,definitely_china,likely_china,likely_china,unknown
369,tukaho,2.55,not_china,likely_not_china,likely_china,unknown,unknown,unknown,unknown
370,Goat Soap,2.52,not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown
371,SMOLBOL,2.46,not_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,unknown
372,BnD US,2.10,not_china,unknown,unknown,unknown,unknown,unknown,unknown
373,Nuanced Media,2.10,not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,definitely_not_china
374,Gemonklee,2.01,china,likely_china,unknown,unknown,unknown,unknown,unknown
375,itservicesVremi,1.93,not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,unknown
376,Loquacious Games,1.90,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
377,Matrescence,1.86,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown
378,Milspin,1.83,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china
379,Level Up Pup,1.65,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
380,MyMed,1.60,not_china,unknown,unknown,unknown,unknown,unknown,unknown
381,barebotanicsteam,1.60,not_china,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown
382,mondaymoose,1.52,not_china,unknown,unknown,unknown,unknown,unknown,unknown
383,Elevate Pet Provisions,1.50,not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,unknown
384,ELEMITO,1.50,not_china,unknown,unknown,unknown,unknown,unknown,unknown
385,PureHimalayanShilajit,1.50,not_china,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown
386,Settini,1.44,not_china,unknown,unknown,unknown,unknown,unknown,unknown
387,Supplements Studio,1.38,not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown
388,Swigzy,1.35,not_china,unknown,unknown,unknown,unknown,unknown,unknown
389,GYMGUM,1.09,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
390,Signs That Pop,0.96,not_china,unknown,unknown,unknown,unknown,unknown,unknown
391,Darlington Snacks,0.90,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,definitely_not_china
392,ANTOMILIO,0.75,not_china,unknown,unknown,unknown,unknown,unknown,unknown
393,yaqubnmc1,0.72,not_china,unknown,unknown,unknown,unknown,unknown,unknown
394,DecorChiq,0.60,not_china,unknown,unknown,unknown,unknown,unknown,unknown
395,Argosy QR,0.60,not_china,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown
396,sharmony,0.56,not_china,unknown,unknown,unknown,unknown,unknown,unknown
397,bioworld,0.50,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,definitely_not_china
398,acorn+oak,0.47,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
399,Dragon Grips and Bright Knight Decals,0.45,not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown,unknown
400,Levonascent,0.35,not_china,likely_not_china,unknown,unknown,unknown,unknown,unknown
401,Kavguine,0.30,china,unknown,unknown,likely_china,unknown,unknown,unknown
